"A0002600","R0000100","R0000300","R0000500","R0006500","R0007900","R0009100","R0173600","R0214700","R0214800","R0410100","R0410300","R0618301","T4181500","T4188900","T4189900","T4193600","T4201000","T4201100","T4246600","T4246700","T4253500","T4253600","T4254500","T4254600","T4255000","T4255100","T4259000","T4259100","T4282300","T4282800","T4282900","T4283300","T4429600","T4434100","T4467000","T4478200","T4478300","T4876800","T4890700","T4890800","T4890900","T4891000","T4891300","T4892000","T4892200","T4892300","T4892400","T4892500","T4892600","T4892700","T4892800","T4892900","T4894200","T4894300","T4894400","T4897200","T4897800","T4897900","T4898000","T4915800","T5019200","T5019300","T5019700","T5019900","T5022100","T5022300","T5022500","T5022600","T5022800","T5023100","T5023200","T5023300","T5024700","T5024800","T5024900","T5025000","T5025100","T5025900","T5026000","T5026200","T5031400","T5031500","T5031600","T5054600","T5058900"
-5,1,9,58,8,8,1,5,3,2,9,58,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,2,1,59,5,8,8,5,3,2,1,59,6841,11,-4,-4,-4,-4,12,1,-4,35,-4,35,-4,0,-4,1,-4,8680,4720,-4,1,0,0,7010,-4,-4,2,-4,0,0,0,-4,0,-4,-4,-4,0,-4,151,5,0,1,2,2,1,-4,-4,0,21000,590,-4,1153,-4,1064516,-4,4,35400,0,1,2,1,1820,52,0,0,0,1,2,3,2,2,21,1,1
458,3,8,61,10,12,3,5,3,2,-5,-5,49444,11,-4,-4,-4,-4,10,1,0,40,8,40,-4,0,-4,1,-4,8990,4320,60,2,0,0,5230,52,40,3,-4,0,0,0,-4,0,-4,-4,-4,1,1,160,5,10,1,2,1,1,-4,-4,0,40000,329,27,1923,721,729810,-4,2,90000,0,4,2,1,2010,52,0,0,0,1,3,18,3,0,-4,1,1
-5,4,8,62,11,12,3,5,3,2,8,62,55761,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,5,7,59,12,12,1,1,3,1,7,59,96772,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,6,10,60,12,12,1,1,3,1,10,60,99393,11,-4,-4,-4,-4,16,1,-4,40,-4,40,-4,5,-4,1,-4,7870,2710,-4,1,0,0,2200,48,55,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,195,5,5,1,1,1,1,-4,-4,0,112000,1155,-4,5432,-4,952709,-4,5,182000,0,2,2,1,2080,52,0,0,0,1,2,12,3,3,19,1,1
-5,7,6,64,12,12,1,1,3,1,6,64,47412,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,65,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,8,7,58,9,6,7,6,3,2,7,58,44022,11,-4,-4,-4,-4,14,1,0,40,12,40,12,0,0,1,1,6870,5000,-4,2,1,0,2340,5,4,3,-4,0,0,0,-4,0,-4,-4,-4,0,-4,192,5,3,1,2,1,1,-4,-4,0,47000,484,3,2259,875,981777,-4,2,47000,0,1,2,1,2080,52,0,0,0,1,2,14,3,0,-4,1,1
458,9,7,63,12,10,4,1,3,1,7,63,59683,11,-4,-4,-4,-4,14,1,-4,55,-4,-4,-4,-4,-4,-4,-4,8770,10,-4,4,0,0,2320,26,9,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,190,5,6,1,2,4,1,-4,-4,0,80000,1125,-4,2797,-4,880133,-4,3,160000,0,1,2,1,2860,52,0,0,0,1,2,5,2,1,22,1,1
-5,10,10,60,12,12,3,6,3,2,10,60,30039,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,11,7,59,12,12,1,1,3,1,7,59,85347,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,66,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,12,9,59,15,12,3,5,3,2,9,59,89641,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,13,8,58,12,16,2,1,3,1,8,58,72313,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,65,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,14,10,63,12,12,2,5,3,2,10,63,98798,11,-4,-4,0,-4,18,0,-4,55,-4,55,-4,5,-4,1,-4,6990,800,-4,2,0,1,7200,-4,-4,0,0,0,0,0,-4,0,-4,-4,-4,0,-4,195,5,7,1,2,1,1,-4,-4,0,45000,326,-4,4265,-4,958733,-4,1,77440,0,1,3,3,2860,52,0,0,0,1,2,24,0,0,-4,0,1
458,15,2,64,12,12,1,1,3,1,2,64,82260,11,-4,-4,-4,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,350,52,60,-4,-4,1,0,1,1,1,0,1,50,0,-4,240,6,2,1,2,4,1,-4,-4,0,0,-4,-4,-4,-4,1055211,-4,6,595986,0,1,2,1,0,0,0,52,0,1,2,9,4,4,11,-4,-4
458,16,10,58,12,12,3,5,3,2,10,58,50283,11,-4,-4,1,-4,12,1,1,40,10,40,-4,0,-4,1,-4,7270,5700,4900,2,0,0,9840,-4,-4,3,-4,0,0,0,-4,0,-4,-4,-4,0,-4,170,5,4,1,1,1,1,-4,-4,0,74000,274,33,3605,192,1019900,-4,4,94000,0,1,3,3,2080,52,0,0,0,1,3,13,3,3,18,1,1
458,17,1,57,12,15,2,1,3,1,1,57,89669,11,-4,-4,0,-4,12,1,-4,38,-4,38,-4,0,-4,1,-4,9570,6660,-4,1,0,0,5110,-4,-4,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,172,5,9,1,5,5,1,-4,-4,0,68000,555,-4,3441,-4,1531660,-4,1,68000,0,1,3,3,1976,52,0,0,0,1,2,14,0,0,-4,1,1
458,18,3,58,12,16,2,1,3,1,3,58,95977,11,-4,-4,0,-4,13,1,-4,35,-4,35,-4,8,-4,1,-4,4170,4760,-4,2,0,0,-4,-4,-4,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,190,5,9,1,2,1,1,-4,-4,0,151000,1478,-4,7417,-4,1405241,-4,1,151000,0,4,3,3,1820,52,0,0,0,1,3,4,3,0,-4,1,1
-5,19,12,57,10,12,3,5,3,2,12,57,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,64,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,20,11,59,12,18,2,5,3,2,11,59,67021,11,-4,-4,-4,-4,16,1,-4,44,-4,44,-4,4,-4,1,-4,7290,300,-4,2,0,1,1360,52,38,1,-4,0,0,0,-4,0,-4,-4,-4,0,-4,142,5,4,1,2,1,1,-4,-4,0,112000,1254,-4,4895,-4,988478,-4,3,195000,0,1,2,1,2288,52,0,0,0,1,2,12,1,1,24,1,1
458,21,6,61,12,18,2,5,3,2,6,61,88416,11,-4,-4,-4,-4,16,1,-4,45,-4,-4,-4,-4,-4,-4,-4,7390,1810,-4,4,0,0,2840,52,40,0,-4,0,0,0,-4,0,-4,-4,-4,0,-4,163,5,2,1,2,3,1,-4,-4,0,370314,142,-4,17521,-4,813216,-4,2,595986,0,1,2,1,2340,52,0,0,0,1,2,27,0,0,-4,1,1
458,22,1,63,12,12,1,5,3,2,1,63,89167,11,-4,-4,0,-4,16,1,0,30,20,-4,20,-4,0,-4,1,8990,3630,1060,4,0,1,220,-4,-4,0,-4,0,0,0,-4,0,-4,-4,-4,0,-4,152,5,3,1,2,1,1,-4,-4,0,10300,40,253,506,1923,890251,-4,1,35700,0,1,3,3,220,11,0,41,0,0,3,30,0,0,-4,1,1
-5,23,9,58,12,12,2,1,3,1,9,58,83214,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,24,1,61,12,12,2,1,3,1,1,61,66029,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,25,11,59,14,16,1,5,3,2,11,59,51390,11,-4,-4,-4,-4,14,1,-4,32,-4,32,-4,0,-4,1,-4,7980,3640,-4,2,0,0,910,52,50,2,0,0,0,0,-4,0,-4,-4,-4,0,-4,145,5,6,1,2,1,1,-4,-4,0,36000,1853,-4,2750,-4,887097,-4,3,146000,0,1,2,1,1664,52,0,0,0,0,2,3,2,1,22,1,1
-5,26,9,62,16,17,2,1,3,1,9,62,97075,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,27,5,60,14,20,1,5,3,2,5,60,96674,11,-4,-4,-4,-4,16,1,0,20,5,20,5,20,5,1,0,7380,5120,-4,5,0,1,1020,52,65,2,-4,0,0,0,-4,0,-4,-4,-4,0,-4,170,5,2,1,2,1,1,-4,-4,0,46000,410,86,4500,2000,788044,-4,2,143502,0,1,3,1,1280,52,0,0,0,1,2,15,2,1,23,1,1
-5,28,1,64,14,20,1,5,3,2,1,64,92784,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,29,10,60,0,4,1,5,3,2,10,60,25905,11,-4,-4,-4,-4,12,0,-4,30,-4,30,-4,0,-4,1,-4,8680,4150,-4,5,0,0,4000,52,35,0,1,-4,-4,1,1,0,-4,-4,-4,0,-4,165,5,8,1,1,1,1,-4,-4,0,0,302,-4,800,-4,841973,-4,2,-2,-3,1,2,1,1560,52,0,0,0,1,3,6,0,0,-4,0,1
458,30,11,58,-2,6,1,5,3,2,11,58,8528,11,-4,-4,-4,-4,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,6440,-4,-4,3,-4,0,0,0,-4,0,-4,-4,-4,1,8,180,5,4,1,2,1,1,-4,-4,0,0,-4,-4,-4,-4,943452,-4,4,21882,1,-4,2,1,0,0,0,52,0,-4,-4,4,3,2,23,-4,-4
458,31,10,63,9,3,2,4,1,1,10,63,-4,11,-4,-4,-4,-4,12,1,0,39,45,39,45,0,0,1,1,7680,3920,5240,2,0,0,4760,52,40,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,198,5,9,0,-4,1,1,-4,-4,0,26000,68,732,1000,1111,155312,-4,3,51000,0,4,2,1,1092,26,20,6,0,1,2,13,2,1,22,1,1
-5,32,11,57,12,12,2,8,1,2,11,57,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,65,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,33,5,62,12,15,2,4,1,1,-5,-5,-5,11,-4,-4,0,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,1,-4,-4,-4,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,220,5,7,1,1,1,1,-4,-4,0,0,-4,-4,-4,-4,239051,-4,1,9972,1,1,1,0,0,0,-3,-3,0,1,3,3,0,0,-4,-4,-4
458,34,12,58,13,12,5,1,3,1,12,58,6069,11,-4,-4,1,-4,12,0,-4,40,-4,40,-4,0,-4,1,-4,8770,7200,-4,2,0,0,5700,-4,-4,-4,1,-4,-4,1,1,0,-4,-4,-4,0,-4,216,5,10,1,2,2,0,0,0,0,26000,128,-4,2700,-4,1101061,-4,1,-2,-3,1,3,3,2085,52,0,0,0,0,2,23,4,0,-4,0,1
-5,35,8,63,12,12,5,5,3,2,8,63,53046,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,36,8,62,14,12,3,1,3,1,8,62,-4,11,-4,-4,0,-4,12,1,-4,45,-4,-4,-4,-4,-4,-4,-4,770,6260,-4,4,0,0,4700,-2,-2,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,165,5,11,0,-4,3,0,0,3,0,28000,216,-4,807,-4,775079,-4,1,28000,0,1,3,3,2340,52,0,0,0,1,2,17,0,0,-4,1,1
458,37,10,58,12,12,4,5,3,2,10,58,56290,11,-4,-4,-4,-4,12,1,-4,35,-4,35,-4,0,-4,1,-4,7860,5700,-4,1,0,0,520,52,40,1,-4,0,0,0,-4,0,-4,-4,-4,0,-4,178,5,-4,1,2,1,1,-4,-4,0,45000,902,-4,2514,-4,816553,-4,3,165300,0,1,2,1,1820,52,0,0,0,1,2,4,1,1,25,1,1
458,38,8,62,12,12,4,5,3,2,8,62,12788,11,-4,-4,-4,-4,12,1,-4,42,-4,42,-4,2,-4,1,-4,9470,620,-4,1,0,1,6230,45,30,0,-4,0,0,0,-4,0,-4,-4,-4,0,-4,165,5,3,1,2,1,1,-4,-4,0,96000,1492,-4,4853,-4,689361,-4,2,126000,0,1,2,1,2184,52,0,0,0,1,2,9,0,0,-4,1,1
458,39,2,59,12,12,4,1,3,1,2,59,26851,11,-4,-4,-4,-4,12,1,-4,50,-4,50,-4,0,-4,1,-4,5090,20,-4,2,0,0,5400,52,40,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,195,6,0,1,2,1,1,-4,-4,0,65000,474,-4,2500,-4,1227842,-4,3,100000,0,3,2,1,2600,52,0,0,0,1,2,16,1,1,19,1,1
458,40,2,60,10,12,2,2,3,1,2,60,38419,11,-4,-4,-4,-4,14,1,0,40,40,40,40,0,40,1,1,9590,4620,620,1,0,0,430,52,40,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,160,5,7,1,2,1,1,-4,-4,0,15000,36,79,1538,2616,905984,-4,4,193220,0,1,2,1,2400,52,0,0,0,0,2,19,2,2,6,1,1
458,41,4,62,10,12,3,2,3,1,4,62,57095,11,-4,-4,-4,-4,16,1,-4,52,-4,52,-4,2,-4,1,-4,4690,50,-4,2,0,0,2540,40,19,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,221,6,2,1,2,1,1,-4,-4,0,140000,1426,-4,5177,-4,674475,-4,4,149000,0,1,2,1,2704,52,0,0,0,1,2,12,2,2,12,1,1
458,42,9,63,14,12,1,1,3,1,9,63,22326,11,-4,-4,-4,-4,12,1,-4,40,-4,40,-4,0,-4,1,-4,4470,7210,-4,2,0,0,5700,52,36,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,280,6,0,1,2,1,1,-4,-4,0,60000,555,-4,2403,-4,779731,-4,6,120000,0,1,2,1,2080,52,0,0,0,1,2,9,2,3,23,1,1
458,43,6,61,10,9,2,6,3,2,6,61,15325,11,-4,-4,0,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,-4,-4,-4,4,-4,1,1,1,1,0,-4,-4,-4,0,-4,224,5,5,1,1,1,1,-4,-4,0,0,-4,-4,-4,-4,555458,-4,5,9252,1,1,3,3,0,0,0,52,0,1,2,19,4,3,15,-4,-4
458,44,4,61,12,12,4,5,3,2,4,61,37061,11,-4,-4,-4,-4,12,1,-4,42,-4,42,-4,0,-4,1,-4,7290,5860,-4,2,0,0,140,52,42,2,-4,0,0,0,-4,0,-4,-4,-4,0,-4,112,5,4,1,2,1,1,-4,-4,0,45000,515,-4,2060,-4,617357,-4,2,245000,0,1,2,1,2184,52,0,0,0,0,2,8,2,0,-4,1,1
-5,45,11,59,9,10,2,1,3,1,11,59,50629,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,72,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,46,11,62,12,12,0,5,3,2,11,62,78095,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,47,2,59,12,16,1,1,3,1,2,59,75473,11,-4,-4,-4,-4,12,1,-4,50,-4,50,-4,0,-4,1,-4,2880,7140,-4,2,0,0,430,52,48,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,224,6,1,1,2,1,1,-4,-4,0,90000,591,-4,3500,-4,993375,-4,2,185000,0,1,2,1,2600,52,0,0,0,0,2,11,0,0,-4,1,1
-5,48,10,58,12,12,3,2,3,1,-5,-5,24806,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,65,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,49,5,58,12,12,6,5,3,2,5,58,71226,11,-4,-4,-4,-4,14,1,1,30,30,30,30,20,20,1,1,7070,4920,4920,4,0,1,710,52,40,2,-4,1,-2,1,1,0,-4,-4,-4,0,-4,218,5,9,1,2,1,1,-4,-4,0,500,529,12,1025,-4,838976,-4,2,84500,0,1,2,1,2340,52,0,0,0,1,3,14,2,0,-4,1,1
458,50,9,58,9,10,4,5,3,2,9,58,78742,11,-4,-4,-4,-4,12,1,-4,35,-4,35,-4,0,-4,1,-4,6970,5700,-4,2,0,0,6230,52,40,5,-4,0,0,0,-4,0,-4,-4,-4,0,-4,250,5,4,1,2,1,1,-4,-4,0,65000,491,-4,3571,-4,838976,-4,4,135000,0,1,2,1,1820,52,0,0,0,1,2,8,5,2,22,1,1
-5,51,1,63,9,12,4,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,65,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,52,9,58,12,14,6,1,3,1,9,58,69080,11,-4,-4,1,-4,14,1,-4,60,-4,60,-4,5,-4,1,-4,570,50,-4,2,0,0,-4,-4,-4,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,235,6,0,1,2,3,1,-4,-4,0,370314,856,-4,6410,-4,1147932,-4,1,-2,-3,3,3,3,2980,52,0,0,0,1,2,4,2,0,-4,1,1
458,53,3,63,-2,4,3,4,1,1,3,63,43641,11,-4,-4,0,-4,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,-4,-4,-4,0,-4,1,1,1,1,0,-4,-4,-4,0,-4,201,5,8,1,2,1,1,-4,-4,0,0,-4,-4,-4,-4,125593,-4,1,9528,1,4,1,0,0,0,0,52,0,1,3,24,0,0,-4,-4,-4
458,54,6,58,3,5,3,1,3,1,6,58,-4,11,7,6,-4,-4,11,1,-4,37,-4,37,-4,0,-4,1,-4,770,6730,-4,1,0,0,-4,-4,-4,-4,-4,0,0,0,-4,1,1,1,10,0,-4,250,6,0,1,2,1,1,-4,-4,0,44000,349,-4,2286,-4,1019989,-4,2,44000,0,1,2,1,1924,52,0,0,0,1,2,11,1,0,-4,1,1
-5,55,11,58,12,12,2,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,56,5,64,12,12,2,5,3,2,5,64,76020,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,71,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,57,5,58,12,12,1,5,3,2,5,58,30830,11,-4,-4,0,-4,12,1,0,35,38,35,38,0,0,1,1,8590,5400,4010,2,0,0,1530,-4,-4,3,-4,0,0,0,-4,0,-4,-4,-4,0,-4,138,5,6,1,2,1,1,-4,-4,0,31000,48,-3,1500,1000,745468,-4,3,39544,0,1,3,3,0,0,-3,-3,0,1,2,27,3,2,16,1,1
458,58,1,57,12,17,2,5,3,2,1,57,91625,11,-4,-4,-4,-4,17,1,-4,40,-4,40,-4,0,-4,1,-4,6770,230,-4,1,0,0,1000,52,40,3,-4,0,0,0,-4,0,-4,-4,-4,0,-4,125,5,2,1,2,1,1,-4,-4,0,110000,1959,-4,4183,-4,763740,-4,3,163160,0,1,2,1,2144,52,0,0,0,1,2,8,3,1,27,1,1
458,59,1,59,-2,-2,2,1,3,1,11,59,98841,11,-4,-4,-4,-4,12,1,-4,40,-4,-4,-4,-4,-4,-4,-4,1990,8260,-4,4,0,0,9990,-4,-4,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,240,5,9,1,2,1,1,-4,-4,0,0,1659,-4,-4,-4,900713,-4,2,-2,-3,1,2,1,2080,52,0,0,0,1,2,8,0,0,-4,1,1
-5,60,8,61,12,16,2,1,3,1,8,61,82980,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,61,9,62,12,16,3,5,3,2,9,62,99150,11,-4,-4,-4,-4,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,9840,52,60,3,-4,0,0,0,-4,0,-4,-4,-4,0,-4,185,5,6,1,2,1,1,-4,-4,0,0,-4,-4,-4,-4,629348,-4,5,140000,0,1,2,1,0,0,0,52,0,1,2,14,3,3,12,-4,-4
458,62,7,64,12,16,3,5,3,2,7,64,36384,11,-4,-4,0,16,16,1,-4,40,-4,40,-4,0,-4,1,-4,3580,5700,-4,2,0,0,7920,-4,-4,3,-4,0,0,0,-4,0,-4,-4,-4,0,-4,223,5,10,1,2,1,1,-4,-4,0,58000,372,-4,2980,-4,765294,-4,4,58000,0,1,3,3,2080,52,0,0,0,1,2,16,3,3,13,1,1
